text	label
Novartis decided to terminate based on strategic and administrative reasons.	Business_Administrative
Company decision has been taken in light of recent demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision has been taken in light of recent demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision has been taken in light of recent demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision has been taken in light of recent demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Company decision taken in light of demands by certain national health authorities	Business_Administrative
Need amendments in application process and require IBD number from FDA	Business_Administrative
This study was terminated for administrative reasons. The dose ranging plan for the program was revised.	Business_Administrative
"This study was withdrawn for administrative reasons. The dose ranging plan for the program was revised&quot;."	Business_Administrative
Due to the achievement of minimum required sample size and new changes in local regulations.	Business_Administrative
inability to recruit due to administrative difficulties at the site	Business_Administrative
"Beacuse of unexpected administrative barriers, only 5 cases were enrolled in a year."""	Business_Administrative
Recruitment and organizational difficulties	Business_Administrative
"because of unexpected administrative barrier, it was very difficult to enroll case."""	Business_Administrative
"principle investigator moved, new investigators will join, insurance expired - project needs to be re-examined by an ethic committee"""	Business_Administrative
The study has ceased recruiting as Ethics approval has lapsed and the investigator availability reduced.	Business_Administrative
Due to the achievement of minimum required sample size and new changes in local regulations.	Business_Administrative
FDA Hold May 2007	Business_Administrative
No documentation with MHRA to support clinical trial of a medicinal product.	Business_Administrative
Withdrawn because of lack of aprovement from local medical authorities	Business_Administrative
Didn't receive IND exemption. PI withdrew rather than reapply to FDA. No patients enrolled.	Business_Administrative
Due to reorganisation in the hospital structure	Business_Administrative
Reorganization of personnel forced termination.	Business_Administrative
"The decision to terminate was for administrative reasons; there were no safety or efficacy concerns."	Business_Administrative
"Terminated for site documentation and monitoring issues - not safety, study drug, or adverse event issues."""	Business_Administrative
Terms for legal agreements between institution and Sponsor could not be made.	Business_Administrative
Unable to complete a contract with the Sponsor.	Business_Administrative
because of the presence of unexpected administrative barrier to interfere the collection of case	Business_Administrative
Administrative	Business_Administrative
Withdrawn for administrative reasons	Business_Administrative
Administrative	Business_Administrative
"Study was closed due to administrative reasons; study did not enroll any participants."	Business_Administrative
Protocol approval expired	Business_Administrative
administrative reasons	Business_Administrative
Administrative	Business_Administrative
Administrative	Business_Administrative
IMP expired prior to completion of recruitment	Business_Administrative
Study closed for PI failure to submit renewal paperwork	Business_Administrative
Recruitment on hold until IRB review completed	Business_Administrative
withdrawn due to contractual issues	Business_Administrative
"The study was prematurely discontinued due to administrative reasons on August 18, 2003. There were no safety concerns that led to the decision to terminate."""	Business_Administrative
Expired IRB approval	Business_Administrative
Collaboration could not be established	Business_Administrative
Administrative	Business_Administrative
administrative reasons	Business_Administrative
"Health Canada Approval date reached, no extension applied for"""	Business_Administrative
Contractual issues	Business_Administrative
Withdrawn due to inability to reach an acceptable agreement with industry sponsor	Business_Administrative
Administrative reasons	Business_Administrative
Administrative	Business_Administrative
As Continuing Review application to IRB was not submitted on time	Business_Administrative
After 190 weeks [7 patients left] it was terminated for administrative reasons	Business_Administrative
Withdrawn for administrative reasons	Business_Administrative
Difficulties in the organisation	Business_Administrative
The study is being discontinued due to administrative reasons that are unrelated to safety	Business_Administrative
Suspended patient enrollment due to an ongoing dispute with the licensor.	Business_Administrative
Administrative suspension	Business_Administrative
The study was started before the official request for protocol registration	Business_Administrative
Terminated due to a patent legal settlement	Business_Administrative
Hiatus for administrative reasons.	Business_Administrative
Administrative	Business_Administrative
No agreement between investigator and sponsor	Business_Administrative
unable to obtain contract with sponsor	Business_Administrative
Facet no longer has ownership of ularitide.	Business_Administrative
Administrative	Business_Administrative
contract issues	Business_Administrative
for administrative reasons	Business_Administrative
terminated due to administrative reasons.	Business_Administrative
Interruption of business relations between Study Sponsor and Device Manufacturer	Business_Administrative
"Enrollment temporarily suspended to prepare grant; need IRB reapproval"	Business_Administrative
Administrative	Business_Administrative
Administrative	Business_Administrative
Administrative	Business_Administrative
"Due to company decision to focus resources on a larger, controlled study in this patient population."""	Another_Study
Due to company decision to focus resources on the finalisation of three ongoing studies in the region	Another_Study
"Lucentis, a treatment superior to PDT, has become available i Sweden."""	Another_Study
"Other authors showed the same metabolic effect may be obtained when BMMC are delivered peripherally, with lower risk and cost than through hepatic artery."""	Another_Study
"Investigator initiated hold due to animal toxicity results in another study; then changed study design so it no longer fit the description of this study."	Another_Study
protocol changed and a new study using verapamil in epilepsy will be started in the near future	Another_Study
Study design changes were needed based on GIPF-001 results	Another_Study
Due to ethical concerns regard to the results from the WHI study	Another_Study
project was only internally funded and would complete for subjects with 2 newer externally funded projects	Another_Study
"The results of a same study design have shown low response with important side effects. Accordingly &amp; ethicly, the study has been stopped."""	Another_Study
unsatisfactory efficacy data from preceding trial	Another_Study
"Trial suspended on 26 February, following the publication of a trial with negative results (Ann Intern Med 146(4), 2007). Pending ethics committee re-approval."""	Another_Study
"Study stopped early based on interim results of another trial, showing inferior activity of pemetrexed/carboplatin compared to etoposide/carboplatin in SCLC."""	Another_Study
Negative efficacy results of the MAESTRO-01 trial	Another_Study
EMD Serono voluntarily decided to terminate this trial after observing increased MS disease activity in trial 28063 ATAMS [Please refer to ATAMS]	Another_Study
Terminated due to insufficient efficacy over placebo in Study ATL1251/038/CL.	Another_Study
Study was terminated due to insufficient clinical efficacy observed in previous studies conducted in postherpetic neuralgia.	Another_Study
It was decided to close the study to further enrollment based on data from a similar study using ABT-751 and Pemetrexed that did not show efficacy.	Another_Study
study closed to enrollment 04/07/2005 due to two large phase III trials showing no survival benefit of combining bexarotene with platinum-based chemotherapy	Another_Study
Negative efficacy results of the MAESTRO-01 study	Another_Study
Interim results of another trial showed inferior activity of treatment	Another_Study
The predecessor study A00309 (NCT00152464) did not show statistical significance in time to onset of asthma between the levocetirizine and placebo groups.	Another_Study
Efficacy in pre-trial subjects indicated that the intervention did not warrant further investigation	Another_Study
Lack of efficacy demonstrated in study ICA-17043-10	Another_Study
"Positive FAIR-HF study data are available, this study is identical as EFFICACY-HF. Due to low recruitment in EFFICACY-HF the decision was made to terminate it."""	Another_Study
New evidence and trouble recruiting	Another_Study
problems with including patients and a large multicenter Trial is now starting as follow-up	Another_Study
The study was closed early due to low enrollment and new information regarding the benefit of the study regimen.	Another_Study
"Slow rates of accrual in North America, enrollment of more than 100 patients in a global study to confirm safe dose."""	Another_Study
Voluntary halt of further dosing due to an FDA Clinical Hold issued in relation to Dynavax study DV2-HBV-10	Another_Study
