text	label
"Due to company decision to focus resources on a larger, controlled study in this patient population."""	Another_Study
Due to company decision to focus resources on the finalisation of three ongoing studies in the region	Another_Study
"Lucentis, a treatment superior to PDT, has become available i Sweden."""	Another_Study
"Other authors showed the same metabolic effect may be obtained when BMMC are delivered peripherally, with lower risk and cost than through hepatic artery."""	Another_Study
"Investigator initiated hold due to animal toxicity results in another study; then changed study design so it no longer fit the description of this study."	Another_Study
protocol changed and a new study using verapamil in epilepsy will be started in the near future	Another_Study
Study design changes were needed based on GIPF-001 results	Another_Study
Due to ethical concerns regard to the results from the WHI study	Another_Study
project was only internally funded and would complete for subjects with 2 newer externally funded projects	Another_Study
"The results of a same study design have shown low response with important side effects. Accordingly &amp; ethicly, the study has been stopped."""	Another_Study
unsatisfactory efficacy data from preceding trial	Another_Study
"Trial suspended on 26 February, following the publication of a trial with negative results (Ann Intern Med 146(4), 2007). Pending ethics committee re-approval."""	Another_Study
"Study stopped early based on interim results of another trial, showing inferior activity of pemetrexed/carboplatin compared to etoposide/carboplatin in SCLC."""	Another_Study
Negative efficacy results of the MAESTRO-01 trial	Another_Study
EMD Serono voluntarily decided to terminate this trial after observing increased MS disease activity in trial 28063 ATAMS [Please refer to ATAMS]	Another_Study
Terminated due to insufficient efficacy over placebo in Study ATL1251/038/CL.	Another_Study
It was decided to close the study to further enrollment based on data from a similar study using ABT-751 and Pemetrexed that did not show efficacy.	Another_Study
study closed to enrollment 04/07/2005 due to two large phase III trials showing no survival benefit of combining bexarotene with platinum-based chemotherapy	Another_Study
Negative efficacy results of the MAESTRO-01 study	Another_Study
Interim results of another trial showed inferior activity of treatment	Another_Study
The predecessor study A00309 (NCT00152464) did not show statistical significance in time to onset of asthma between the levocetirizine and placebo groups.	Another_Study
Efficacy in pre-trial subjects indicated that the intervention did not warrant further investigation	Another_Study
Lack of efficacy demonstrated in study ICA-17043-10	Another_Study
"Positive FAIR-HF study data are available, this study is identical as EFFICACY-HF. Due to low recruitment in EFFICACY-HF the decision was made to terminate it."""	Another_Study
New evidence and trouble recruiting	Another_Study
problems with including patients and a large multicenter Trial is now starting as follow-up	Another_Study
The study was closed early due to low enrollment and new information regarding the benefit of the study regimen.	Another_Study
"Slow rates of accrual in North America, enrollment of more than 100 patients in a global study to confirm safe dose."""	Another_Study
Voluntary halt of further dosing due to an FDA Clinical Hold issued in relation to Dynavax study DV2-HBV-10	Another_Study
"Based on input from regulatory agencies, it is not necessary to conduct this study. An ongoing study was sufficient for regulatory purposes."""	Another_Study
Withdrawn as NCI rescinded approval for parent study NSABP-B-45	Another_Study
Investigations on a Suspected Unexpected Serious Adverse Reaction (SUSAR) in another trial (Phase II Multiple Myeloma trial EMR63325-008)	Another_Study
investigation of adverse events in a related clinical study	Another_Study
reports indicating that increased folic acid intake may increase colin cancer	Another_Study
Investigations on a Suspected Unexpected Serious Adverse Reaction (SUSAR) in another trial (Phase II Multiple Myeloma trial EMR63325-008)	Another_Study
Investigation of adverse events for a study in Germany using erythropoetin	Another_Study
Negative sorafenib results from ESCAPE trial and safety concerns of regimen	Another_Study
Due to the recent meta-analysis about CV adverse effects.	Another_Study
Higher hemorrhage rates of Abciximab in ABESST II trial	Another_Study
Adverse findings from nonclinical carcinogenicity studies.	Another_Study
Animal Safety Data	Another_Study
A sister study using Frova at a 10 mg dose had adverse effects.	Another_Study
Animal Safety Data	Another_Study
Investigations on a Suspected Unexpected Serious Adverse Reaction (SUSAR) in another trial (Phase II Multiple Myeloma trial EMR63325-008)	Another_Study
Due to the recent meta-analysis about CV adverse effects.	Another_Study
"Due to termination of study D3801C00001, due to reports of turbid urine."""	Another_Study
EMD Serono voluntarily decided to terminate this trial after observing increased MS disease activity in trial 28063 ATAMS [Please refer to ATAMS]	Another_Study
New clinical finding with Celebrex and cardiac concerns.	Another_Study
Terminated at 50% enrollment due to recent concerns about rosiglitazone	Another_Study
This study is terminated as a result of data from a study that showed increased mortality in stroke patients.	Another_Study
Investigations on a Suspected Unexpected Serious Adverse Reaction (SUSAR) in another trial (Phase II Multiple Myeloma trial EMR63325-008)	Another_Study
Higher hemorrhage rates of Abciximab in ABESST II trial	Another_Study
positive results from a larger study with same regimen was released.	Another_Study
Corroboration of supporting in vitro data	Another_Study
This was a follow-on study to Biomed 777-CLP-029 which did not meet superiority endpoint	Another_Study
Identical study Biomed 777-CLP-029 did not meet superiority endpoint	Another_Study
"APPRISE closure prompted by SWOG S0205 not meeting primary endpoint-improving OS. APPRISE enrollment closure due to similar design;no unexpected safety data"	Another_Study
RCT with same hypothesis ended and showed a superiority for protective ileostomy after lower anterior rectum resection.	Another_Study
A paper on the same topic came out just before we wanted to start our study.	Another_Study
Pilot study superseded by a larger NHMRC funded trial	Another_Study
No subjects were entered. The study group changed from patients to a healthy volunteers. A healthy-volunteer study is being planned to replace 213.	Another_Study
Due to the publication of significant literature in this area since commencement of the project which has now rendered the project unnecessary.	Another_Study
Replaced with another study	Another_Study
The study was terminated due to results in another study (NCT00878501).	Another_Study
Based on preliminary parent study results	Another_Study
New studies are being offered	Another_Study
Bupivacaine has recently been shown to inhibit osteoclast formation in vitro.	Another_Study
Replaced with an alternate study	Another_Study
This study has been transfered from a sponsored trial to an investigator initiated trial.	Another_Study
Because of unsatisfactory results of previous trial which assessed the effect of different onset times of PDL on surgical scars.	Another_Study
