Pathway	Cancer_type	logFC	AveExpr	t	P.Value	adj.P.Val	B	Sample_size
VEGF	BRCA	82.5722740654623	-33.5309221366032	20.8841002773029	2.09462188741988e-55	2.93247064238783e-54	18.4517211174995	235
Hypoxia	KIRC	625.176272105012	317.864789440655	23.2893493089142	1.4197622817373e-50	1.98766719443222e-49	11.4589892248308	144
p53	BRCA	-167.884630928143	11.9146505664384	-19.2135398711684	4.89209545526163e-50	3.42446681868314e-49	16.9318129144987	235
Androgen	KIRC	-129.016970988551	-6.80845984900719	-15.5138031291912	1.77348660676809e-32	1.24144062473766e-31	7.78288184401479	144
VEGF	COREAD	86.6779537553263	19.651238100208	15.1928694694814	5.5432813925471e-28	7.05513212664936e-27	2.31823203949265	103
MAPK	COREAD	266.501448452931	26.6472444908269	15.065510819723	1.00787601809277e-27	7.05513212664936e-27	2.2792670298192	103
JAK.STAT	KIRC	401.340314190126	17.8589993627291	12.0628553371262	1.44230702712766e-23	6.73076612659575e-23	5.14787749428348	144
Estrogen	LUSC	129.602437569301	-81.3171577577239	12.9519144040265	3.28223434547367e-23	4.59512808366313e-22	0.601730410307979	102
p53	THCA	145.223489965559	93.1032715330976	12.3318484881831	6.53130273299498e-23	9.14382382619298e-22	2.62888843815448	118
Androgen	THCA	-84.2635165128454	-34.6927661816939	-11.5166352796182	5.43995058851421e-21	3.80796541195995e-20	2.1619645930928	118
NFkB	KIRC	378.228338631224	55.1025170924893	10.9625110481551	1.09002366576708e-20	3.8150828301848e-20	4.15093176831391	144
TGFb	COREAD	65.3351426426665	6.97273784793869	11.2560767303099	1.31449635424573e-19	6.13431631981339e-19	0.825698421754375	103
TNFa	KIRC	379.05684276664	10.6601247407345	10.1915280449664	1.10492430355661e-18	3.0937880499585e-18	3.41002869184441	144
Androgen	LIHC	-118.469793249166	68.2633567897902	-10.8116373046552	2.30055727652049e-18	3.22078018712868e-17	-0.879986667092683	98
Estrogen	LUAD	72.4857456189315	-116.562589895992	10.0599996869548	7.06813572637154e-18	9.89539001692016e-17	0.453894098411849	128
WNT	COREAD	31.2300536781081	-2.25709314237926	10.0348080673611	6.59956265393967e-17	2.30984692887888e-16	0.22634451783867	103
VEGF	THCA	71.0956541049012	-57.6488070523954	9.83535257475555	5.22252204445802e-17	2.43717695408041e-16	1.09084941923626	118
EGFR	COREAD	120.006669982236	50.2956164017756	9.77442869498011	2.49434288815869e-16	6.98416008684433e-16	0.0897063017433233	103
PI3K	LUSC	155.278766219003	71.6884000922082	9.8182182508003	2.2081749439213e-16	1.54572246074491e-15	-0.596659176605678	102
Trail	LUSC	-51.3951968430372	27.792790223585	-9.39399939703912	1.90308622005513e-15	8.88106902692393e-15	-0.788354252602226	102
Trail	KIRC	38.8177352104348	2.18236009288657	8.69969766547018	7.11061337525151e-15	1.65914312089202e-14	1.89361068093414	144
Estrogen	LIHC	-94.2860742500446	42.6013413670801	-9.31484614012648	3.93799956431246e-15	2.75659969501872e-14	-1.41361146287755	98
p53	PRAD	-128.63615544423	47.1598192577822	-9.28414298208952	2.41394054591506e-15	3.37951676428109e-14	0.233134295755639	106
MAPK	LUAD	163.727173030238	45.9193742226482	8.83304752923352	6.89549520215474e-15	4.82684664150831e-14	-0.302375084005937	128
p53	LIHC	-134.629707917739	93.5788095597383	-8.92391988052397	2.75222457957523e-14	1.28437147046844e-13	-1.56543823854945	98
EGFR	LUAD	106.158618909661	29.3348209517611	8.56471274231567	3.03713295805597e-14	1.41732871375945e-13	-0.474567717003239	128
Androgen	COREAD	-86.2524500416503	-21.846161743895	-8.65088370316951	7.59459591534502e-14	1.77207238024717e-13	-0.534132591029143	103
MAPK	LUSC	142.178198140088	43.8773817820603	8.72865784240146	5.51745561715482e-14	1.93110946600419e-13	-1.1026979217982	102
PI3K	BRCA	102.522685758459	44.9319588398714	7.95045388304375	7.84635503518558e-14	3.66163234975327e-13	2.33235796914841	235
Androgen	KIRP	-161.485452953488	-35.6345389407886	-9.70453218647515	3.6217805868508e-14	5.07049282159112e-13	-2.62076298508749	64
MAPK	THCA	118.623724275107	-112.258553523556	8.15222454139926	4.44929894937891e-13	1.55725463228262e-12	-0.114450148880163	118
p53	LUAD	-112.201996819362	47.5419146730792	-8.0636297044749	4.69042586811824e-13	1.64164905384138e-12	-0.801394456336189	128
p53	KIRC	67.101208118214	78.5349315386875	7.83205943862403	9.76787234543964e-13	1.95357446908793e-12	0.977043966373551	144
VEGF	LUAD	57.1271357110349	-5.73627699937781	7.7719151487762	2.25727536947931e-12	5.28327767475275e-12	-0.994309148560872	128
PI3K	LUAD	173.588136764813	67.451714229891	7.77133801468008	2.26426186060832e-12	5.28327767475275e-12	-0.994692429183094	128
p53	HNSC	-123.669632149882	110.847250386338	-8.50188012747728	5.38610166605085e-13	7.54054233247119e-12	-2.24975296731493	86
MAPK	STAD	193.91212899781	1.73145983924565	8.81234078409044	8.00920445398718e-13	1.12128862355821e-11	-2.75054556809394	68
p53	LUSC	-122.084121404445	72.2642555251127	-7.79106616739782	5.99729714097529e-12	1.67924319947308e-11	-1.57156833615079	102
Trail	COREAD	-45.4758000041166	15.7059901014999	-7.64000607450862	1.20139961475316e-11	2.40279922950632e-11	-1.13795832768044	103
WNT	LUSC	-21.8694115759612	27.8811771589216	-7.63654706366547	1.28583394366748e-11	3.00027920189078e-11	-1.6513861221742	102
VEGF	LUSC	54.7910982894225	1.23593137572173	7.60103304699617	1.5314174434973e-11	3.0628348869946e-11	-1.6698207136438	102
Hypoxia	LUSC	218.643175404659	58.0118715729953	7.48226571086576	2.74357998750076e-11	4.80126497812633e-11	-1.73170293135067	102
VEGF	KIRC	33.0265060836884	-67.7975285301257	7.19324217344844	3.23669348568362e-11	5.66421359994634e-11	0.296001294228932	144
TGFb	KIRC	45.260701197414	31.9104372548234	7.11966258815372	4.80529856606053e-11	7.47490888053861e-11	0.217588722153352	144
MAPK	HNSC	149.800112593237	82.2452837451041	7.8314170657682	1.21394206677926e-11	8.49759446745484e-11	-2.46746030075676	86
VEGF	UCEC	93.9167735648816	-24.1396302729084	9.13971109907794	7.58834082875925e-12	1.0623677160263e-10	-3.80985099341656	46
NFkB	LUSC	-390.867268851738	490.614326439771	-7.27617717307216	7.50322365578788e-11	1.16716812423367e-10	-1.83988346089199	102
TGFb	HNSC	75.599886759005	62.3647058126375	7.65027305184367	2.80213233897285e-11	1.2411978423873e-10	-2.52834957060589	86
VEGF	HNSC	69.5827596897198	45.0046350467562	7.59915647560141	3.54627954967801e-11	1.2411978423873e-10	-2.5456823953365	86
