normalised_synonym	normalised_id
permanent cell line cell	CL:0000002
continuous cell line cell	CL:0000002
stomatal guard cell	CL:0000292
synucleinopathy	DOID:0050890
alpha synucleinopathies	DOID:0050890
trypanosoma infectious disease	DOID:10113
trypanosoma caused disease or disorder	DOID:10113
trypanosomiasis	DOID:10113
trypanosoma disease or disorder	DOID:10113
beaver fever	DOID:10718
beaver feaver	DOID:10718
giardia infection	DOID:10718
giardiasis	DOID:10718
infection by giardia lamblia	DOID:10718
pulmonary sarcoidosis	DOID:13406
lung sarcoidosis	DOID:13406
lung sarcoidosis	DOID:13406
sarcoidosis, pulmonary	DOID:13406
sarcoidosis of lung	DOID:13406
trichomonas infections	DOID:1947
trichomoniasis	DOID:1947
trichomonas infection	DOID:1947
trichomonas infection	DOID:1947
gc	DOID:7551
chronic gonococcal infectious disease of upper genitourinary tract	DOID:7551
neisseria gonorrhoeae infection	DOID:7551
chronic gonococcal infectious disease of lower genitourinary tract	DOID:7551
chronic gonococcal infectious disease of lower genitourinary tract.	DOID:7551
gonorrhea	DOID:7551
reproductive physiological process	GO:0000003
ornithine cycle	GO:0000050
urea biosynthetic process	GO:0000050
urea biosynthesis	GO:0000050
sulphur amino acid metabolism	GO:0000096
sulphur amino acid metabolic process	GO:0000096
sulfur amino acid metabolism	GO:0000096
microtubule cytoskeleton organisation	GO:0000226
bone biosynthesis	GO:0001503
osteogenesis	GO:0001503
bone formation	GO:0001503
neuronal migration	GO:0001764
neuron chemotaxis	GO:0001764
delayed hypersensitivity response	GO:0001806
delayed-type hypersensitivity	GO:0001806
complement cascade, lectin pathway	GO:0001867
regulation of leucocyte activation	GO:0002694
regulation of immune cell activation	GO:0002694
negative regulation of leucocyte activation	GO:0002695
down regulation of leukocyte activation	GO:0002695
negative regulation of immune cell activation	GO:0002695
down-regulation of leukocyte activation	GO:0002695
downregulation of leukocyte activation	GO:0002695
organ system process	GO:0003008
excretory system process	GO:0003014
negative regulation of renal water excretion	GO:0003092
4-aminobutyrate aminotransferase activity	GO:0003867
gaba transferase activity	GO:0003867
gamma-aminobutyrate aminotransaminase activity	GO:0003867
gaba aminotransferase activity	GO:0003867
4-aminobutanoate transaminase activity	GO:0003867
gaba transaminase activity	GO:0003867
aminobutyrate aminotransferase activity	GO:0003867
aminobutyrate transaminase activity	GO:0003867
gamma-aminobutyric acid transaminase activity	GO:0003867
gamma-aminobutyric transaminase activity	GO:0003867
gamma-aminobutyric acid aminotransferase activity	GO:0003867
4-aminobutyric acid aminotransferase activity	GO:0003867
glutamate-succinic semialdehyde transaminase activity	GO:0003867
gamma-aminobutyrate transaminase activity	GO:0003867
gamma-amino-n-butyrate transaminase activity	GO:0003867
glucose transmembrane transporter activity	GO:0005355
glucose permease activity	GO:0005355
mitochondrial coenzyme q-cytochrome c oxidoreductase complex	GO:0005750
mitochondrial coenzyme q-cytochrome c reductase complex	GO:0005750
mitochondrial cytochrome bc1 complex	GO:0005750
mitochondrial complex iii	GO:0005750
mitochondrial ubiquinol-cytochrome-c reductase complex	GO:0005750
mitochondrial cytochrome bc(1) complex	GO:0005750
mitochondrial ubiquinol-cytochrome c oxidoreductase complex	GO:0005750
mitochondrial respiratory chain complex v	GO:0005753
polyribosome	GO:0005844
carbohydrate metabolism	GO:0005975
glycogen metabolism	GO:0005977
disaccharide metabolism	GO:0005984
fructose metabolism	GO:0006000
cellular glucose metabolic process	GO:0006006
glucose metabolism	GO:0006006
galactose metabolism	GO:0006012
organic acid metabolism	GO:0006082
pyruvate metabolism	GO:0006090
glucose biosynthesis	GO:0006094
glucose biosynthetic process	GO:0006094
krebs cycle	GO:0006099
citric acid cycle	GO:0006099
oxidative tca cycle	GO:0006099
tca cycle	GO:0006099
respiratory-chain phosphorylation	GO:0006119
nucleobase, nucleoside, nucleotide and nucleic acid metabolism	GO:0006139
cellular nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	GO:0006139
cellular nucleobase, nucleoside, nucleotide and nucleic acid metabolism	GO:0006139
purine base metabolism	GO:0006144
purine base metabolic process	GO:0006144
purine nucleotide metabolism	GO:0006163
purine nucleotide synthesis	GO:0006164
purine nucleotide formation	GO:0006164
purine nucleotide anabolism	GO:0006164
purine nucleotide biosynthesis	GO:0006164
pyrimidine base metabolic process	GO:0006206
pyrimidine base metabolism	GO:0006206
pyrimidine-dimer repair, dna damage excision	GO:0006289
ner	GO:0006289
protein amino acid glycosylation	GO:0006486
protein amino acid n-linked glycosylation	GO:0006487
protein amino acid o-linked glycosylation	GO:0006493
glycosylphosphatidylinositol biosynthetic process	GO:0006506
gpi anchor formation	GO:0006506
gpi anchor biosynthesis	GO:0006506
gpi anchor synthesis	GO:0006506
glycosylphosphatidylinositol biosynthesis	GO:0006506
gpi anchor anabolism	GO:0006506
glycoprotein deglycosylation	GO:0006517
cellular amino acid metabolic process	GO:0006520
cellular amino acid metabolism	GO:0006520
glutamine metabolism	GO:0006541
glycine metabolism	GO:0006544
histidine metabolism	GO:0006547
l-phenylalanine metabolism	GO:0006558
proline metabolism	GO:0006560
l-serine formation	GO:0006564
l-serine synthesis	GO:0006564
l-serine anabolism	GO:0006564
l-serine biosynthesis	GO:0006564
tryptophan metabolism	GO:0006568
tyrosine metabolism	GO:0006570
tyrosine degradation	GO:0006572
tyrosine breakdown	GO:0006572
tyrosine catabolism	GO:0006572
valine metabolism	GO:0006573
ornithine metabolism	GO:0006591
creatine metabolism	GO:0006600
creatine anabolism	GO:0006601
creatine formation	GO:0006601
creatine synthesis	GO:0006601
creatine biosynthesis	GO:0006601
lipid metabolism	GO:0006629
fatty acid metabolism	GO:0006631
sphingolipid metabolism	GO:0006665
