normalised_id	normalised_label	is_obsolete
BTO:0000007	obsolete_hek-293 cell	True
BTO:0000018	obsolete_a-549 cell	True
BTO:0000664	obsolete_k-562 cell	True
BTO:0001205	obsolete_rt4-d6p2t cell	True
BTO:0001516	obsolete_ba/f3 cell	True
BTO:0001629	obsolete_left ventricle	True
BTO:0001630	obsolete_right ventricle	True
BTO:0001678	obsolete_th1-cell	True
BTO:0001679	obsolete_th2-cell	True
BTO:0002180	obsolete_184b5 cell	True
BTO:0003147	obsolete_juvenile leaf	True
BTO:0003264	obsolete_hl-1 cell	True
BTO:0005136	obsolete_es-e14 cell	True
CHEBI:22584		True
CHEBI:2360		True
CHEBI:26158		True
CHEBI:2709		True
CHEBI:33097		True
CHEBI:4836		True
CHEBI:53439	calcineurin	True
CHEBI:53461	neuropeptide s	True
CHEBI:64208		True
CL:0000002	obsolete immortal cell line cell	True
CL:0000111	obsolete peripheral neuron	True
CL:0000250	obsolete megaspore	True
CL:0000252	obsolete microspore	True
CL:0000292	obsolete guard cell	True
CL:0000337	obsolete_neuroblast (sensu vertebrata)	True
CL:0000398	obsolete polygonal cell	True
CL:0002371	obsolete somatic cell	True
DOID:0050890	synucleinopathy	False
DOID:10113	trypanosomiasis	False
DOID:10718	giardiasis	False
DOID:13406	pulmonary sarcoidosis	False
DOID:1947	trichomoniasis	False
DOID:7551	gonorrhea	False
FBBT:00005566	obsolete ventral midline neuron	True
FBBT:00005670	obsolete embryonic esophageal ganglion	True
GO:0000002	mitochondrial genome maintenance	False
GO:0000003	obsolete reproduction	True
GO:0000050	urea cycle	False
GO:0000096	sulfur amino acid metabolic process	False
GO:0000226	microtubule cytoskeleton organization	False
GO:0000278	mitotic cell cycle	False
GO:0001503	ossification	False
GO:0001764	neuron migration	False
GO:0001775	cell activation	False
GO:0001802	type iii hypersensitivity	False
GO:0001806	type iv hypersensitivity	False
GO:0001867	complement activation, lectin pathway	False
GO:0002376	immune system process	False
GO:0002445	type ii hypersensitivity	False
GO:0002524	hypersensitivity	False
GO:0002526	acute inflammatory response	False
GO:0002682	regulation of immune system process	False
GO:0002694	regulation of leukocyte activation	False
GO:0002695	negative regulation of leukocyte activation	False
GO:0003006	developmental process involved in reproduction	False
GO:0003008	system process	False
GO:0003012	muscle system process	False
GO:0003014	renal system process	False
GO:0003015	heart process	False
GO:0003092	renal water retention	False
