normalised_xref_id	normalised_id
NCIT:C12871	BTO:0001629
NCIT:C12870	BTO:0001630
MESH:D000968	CHEBI:22584
SNOMEDCT:387005008	CHEBI:2360
SNOMEDCT:116084008	CHEBI:2360
NCIT:C61523	CHEBI:2360
MESH:C106538	CHEBI:2360
MESH:C017572	CHEBI:33097
NCIT:C68364	CHEBI:4836
MESH:C049811	CHEBI:4836
MESH:D019703	CHEBI:53439
NCIT:C17275	CHEBI:53439
CITEXPLORE:22396328	CHEBI:64208
CITEXPLORE:22075021	CHEBI:64208
CITEXPLORE:22052387	CHEBI:64208
CITEXPLORE:22313325	CHEBI:64208
CITEXPLORE:22286127	CHEBI:64208
CHEMIDPLUS:109511-58-2	CHEBI:64208
PDBECHEM:5BM	CHEBI:64208
REAXYS:3483750	CHEBI:64208
CHEMBL:150681	CHEBI:64208
CITEXPLORE:22273495	CHEBI:64208
CITEXPLORE:22129618	CHEBI:64208
CITEXPLORE:22101421	CHEBI:64208
WIKIPEDIA:U0126	CHEBI:64208
CITEXPLORE:22182511	CHEBI:64208
CITEXPLORE:21618303	CHEBI:64208
MESH:C113580	CHEBI:64208
CITEXPLORE:22025280	CHEBI:64208
CITEXPLORE:22354777	CHEBI:64208
CITEXPLORE:22301382	CHEBI:64208
FMA:84664	CL:0000111
NCIT:C12991	CL:0000337
WBBT:0008378	CL:0002371
BTO:0001268	CL:0002371
NCIT:C12949	CL:0002371
CL:0002371	CL:0002371
FMA:72300	CL:0002371
MESH:D000080874	DOID:0050890
MONDO:0000510	DOID:0050890
MEDGEN:1682194	DOID:0050890
UMLS:C5191670	DOID:0050890
MEDGEN:52872	DOID:10113
SNOMEDCT:78940002	DOID:10113
ICD9:086.9	DOID:10113
DOID:10113	DOID:10113
MONDO:0000940	DOID:10113
ICD9:086	DOID:10113
UMLS:C0041227	DOID:10113
NANDO:2200774	DOID:10113
SCTID:78940002	DOID:10113
MESH:D014352	DOID:10113
MESH:D014352	DOID:10113
ICD10CM:B56	DOID:10113
UMLS:C0017536	DOID:10718
SNOMEDCT:10679007	DOID:10718
