	Symbol	Panel Id	Panel Name	Panel Version	Panel Status	List	Sources	Mode of inheritance	Mode of pathogenicity	Tags	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Biotype	Phenotypes	GeneLocation((GRch37)	GeneLocation((GRch38)	Panel Types	Super Panel Id	Super Panel Name	Super Panel Version
12627	PIGL	478	Fetal anomalies	1.97	PUBLIC	green	Expert Review Green;PAGE DD-Gene2Phenotype	BIALLELIC, autosomal or pseudoautosomal			ENSG00000108474	ENSG00000108474	HGNC:8966	protein_coding	ZUNICH NEUROECTODERMAL SYNDROME	17:16120505-16252115	17:16217191-16351797	GMS Rare Disease Virtual;GMS signed-off	-	-	-
27846	EARS2	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000103356	ENSG00000103356	HGNC:29419	protein_coding	Combined oxidative phosphorylation deficiency 12, 614924;Required for mitochondrial gene expression  (Mitochondrial respiratory chain disorders (caused by nuclear variants only));Multiple respiratory chain complex deficiencies (disorders of protein synthesis)	16:23533335-23569052	16:23522014-23557731	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	581	Merge for Cardiomyopathies - including childhood onset	7.62
51689	MRPL44	921	Severe Paediatric Disorders	1.11	PUBLIC	amber	Expert list;Expert Review Amber;Next Generation Children Project	BIALLELIC, autosomal or pseudoautosomal			ENSG00000135900	ENSG00000135900	HGNC:16650	protein_coding	?Combined oxidative phosphorylation deficiency 16, 615395	2:224822121-224832431	2:223957404-223967714	Research	-	-	-
48134	TMEM138	283	Cystic kidney disease	2.17	PUBLIC	red	Expert Review Red;Expert				ENSG00000149483	ENSG00000149483	HGNC:26944	protein_coding	Ciliopathy genes associated with cystic kidney disease	11:61129473-61136981	11:61362001-61369509	Rare Disease 100K;GMS Rare Disease;Component Of Super Panel;GMS signed-off	903	Renal superpanel - narrow	2.242
35521	TSC2	558	Multiple monogenic benign skin tumours	1.3	PUBLIC	grey	Expert Review Removed;London North GLH;NHS GMS	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000103197	ENSG00000103197	HGNC:12363	protein_coding	Tuberous sclerosis	16:2097466-2138716	16:2047465-2088720	GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
2107	SSPO	657	Autism	0.16	PUBLIC	red	Expert Review Red;SFARI				ENSG00000197558	ENSG00000197558	HGNC:21998	protein_coding		7:149473131-149531068	7:149776042-149833979	Research	-	-	-
36969	COL1A1	196	Osteogenesis imperfecta	2.6	PUBLIC	green	Eligibility statement prior genetic testing;Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000108821	ENSG00000108821	HGNC:2197	protein_coding	Osteogenesis imperfecta, type I, 166200; OI type II, 166210; OI type III, 259420; OI type IV, 166220; Ehlers-Danlos syndrome, type I, 130000; Ehlers-Danlos syndrome, type VIIA, 130060; {Osteoporosis}, 166710; Caffey disease, 114000;Osteogenesis Imperfecta, Dominant;Osteogenesis Imperfecta and Decreased Bone Density; skeletal dysplasias;Osteogenesis Imperfecta, Type IV; Osteogenesis Imperfecta, Type II; Osteogenesis Imperfecta, Type III;Disproportionate Short Stature	17:48260650-48278993	17:50183289-50201632	Rare Disease 100K;GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
46242	ALMS1	722	Ophthalmological ciliopathies	1.8	PUBLIC	green	Illumina TruGenome Clinical Sequencing Services;Expert Review Green;Orphanet;Eligibility statement prior genetic testing;UKGTN;Expert list	BIALLELIC, autosomal or pseudoautosomal			ENSG00000116127	ENSG00000116127	HGNC:428	protein_coding	Alstrom Syndrome;Bardet-Biedl Syndrome;203800;Alstrom syndrome	2:73612886-73837920	2:73385758-73610793	Component Of Super Panel;GMS signed-off	728	Rare multisystem ciliopathy Super panel	4.56
26787	ALG10	76	Long QT syndrome	2.21	PUBLIC	red	Radboud University Medical Center, Nijmegen;South West GLH	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000139133	ENSG00000139133	HGNC:23162	protein_coding	{Acquired long QT syndrome, reduced susceptibility to}, 613688	12:34175216-34182629	12:34022281-34029694	Rare Disease 100K;GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
18089	POMT1	179	Hydrocephalus	2.5	PUBLIC	green	Emory Genetics Laboratory;Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000130714	ENSG00000130714	HGNC:9202	protein_coding	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1 236670	9:134378289-134399193	9:131502902-131523806	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
24635	STRA6	285	Intellectual disability	3.355	PUBLIC	green	Expert Review Green;Radboud University Medical Center, Nijmegen;Victorian Clinical Genetics Services	BIALLELIC, autosomal or pseudoautosomal			ENSG00000137868	ENSG00000137868	HGNC:30650	protein_coding	Microphthalmia, syndromic 9, 601186Microphthalmia, isolated, with coloboma 8, 601186;MICROPHTHALMIA SYNDROMIC TYPE 9 (MCOPS9)	15:74471807-74504608	15:74179466-74212267	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
26344	DNAAF1	549	Laterality disorders and isomerism	1.19	PUBLIC	green	Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000154099	ENSG00000154099	HGNC:30539	protein_coding	Ciliary dyskinesia, primary, 13, 613193	16:84178865-84212373	16:84145287-84178767	GMS Rare Disease;GMS signed-off	-	-	-
22328	C1QBP	467	Inborn errors of metabolism	2.22	PUBLIC	green	Expert list;Expert Review;Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000108561	ENSG00000108561	HGNC:1243	protein_coding	Combined oxidative phosphorylation deficiency 33 617713	17:5336097-5352150	17:5432777-5448830	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
